Reel_ID,Date_Posted,Country,Views,Likes,Comments,Saves,Shares,Caption,Hashtags,Topic,Post_Time,Duration_sec,Engagement_Rate
R001,09-02-2024,USA,58447,3045,284,292,170,This is a reel about education.,#knowledge #learn #school,Education,Afternoon,15,0.065
R002,27-02-2024,India,85097,5559,754,330,391,This is a reel about food.,#foodporn #delicious #homemade,Food,Afternoon,60,0.083
R003,18-05-2024,China,81530,12092,1135,720,1016,This is a reel about comedy.,#comedy #joke #meme,Comedy,Evening,15,0.184
R004,09-02-2024,China,4530,329,20,23,22,This is a reel about travel.,#nature #explore #travel,Travel,Morning,30,0.087
R005,07-05-2024,USA,10718,1584,173,135,150,This is a reel about sports.,#win #team #game,Sports,Night,30,0.191
R006,04-01-2024,India,19532,2161,155,209,147,This is a reel about relationships.,#together #couple #relationshipgoals,Relationships,Afternoon,90,0.137
R007,16-01-2024,Kenya,83265,13894,1752,1229,897,This is a reel about sports.,#game #win #sports,Sports,Morning,30,0.213
R008,01-01-2024,Thailand,96327,8211,1015,652,744,This is a reel about technology.,#gadgets #tech #innovation,Technology,Evening,15,0.11
R009,21-01-2024,Malaysia,31946,5920,532,546,305,This is a reel about relationships.,#couple #love #romance,Relationships,Morning,15,0.229
R010,04-01-2024,Japan,70896,8728,1041,764,533,This is a reel about fitness.,#health #gym #fitlife,Fitness,Night,15,0.156
R011,10-04-2024,U.S. Virgin Islands,32942,3471,235,283,312,This is a reel about fashion.,#fashion #trend #ootd,Fashion,Afternoon,15,0.131
R012,04-01-2024,Colombia,61447,8702,846,611,840,This is a reel about motivation.,#goals #motivation #grind,Motivation,Night,15,0.179
R013,18-04-2024,USA,90711,5170,515,293,374,This is a reel about food.,#delicious #homemade #yum,Food,Afternoon,15,0.07
R014,08-04-2024,India,75534,13576,714,915,1325,This is a reel about food.,#homemade #foodie #foodporn,Food,Morning,30,0.219
R015,20-02-2024,China,70223,6923,650,418,587,This is a reel about sports.,#team #sports #win,Sports,Morning,90,0.122
R016,23-01-2024,China,93934,4745,649,446,474,This is a reel about travel.,#explore #travel #wanderlust,Travel,Evening,15,0.067
R017,24-05-2024,USA,25687,1934,111,192,101,This is a reel about fashion.,#lookbook #fashion #ootd,Fashion,Night,30,0.091
R018,01-01-2024,India,78061,14442,1944,1254,748,This is a reel about technology.,#tech #future #gadgets,Technology,Evening,60,0.236
R019,13-04-2024,Kenya,74830,5789,667,461,378,This is a reel about technology.,#future #tech #coding,Technology,Night,60,0.097
R020,10-05-2024,Thailand,92552,5763,568,415,517,This is a reel about technology.,#innovation #coding #tech,Technology,Evening,15,0.078
R021,07-05-2024,Malaysia,66395,11219,794,1120,803,This is a reel about technology.,#gadgets #innovation #coding,Technology,Evening,90,0.21
R022,09-03-2024,Japan,68719,7285,938,494,675,This is a reel about motivation.,#motivation #inspiration #grind,Motivation,Morning,60,0.137
R023,14-05-2024,U.S. Virgin Islands,58311,2986,439,236,203,This is a reel about technology.,#coding #future #gadgets,Technology,Evening,60,0.066
R024,23-04-2024,Colombia,33180,3806,486,191,251,This is a reel about education.,#student #study #knowledge,Education,Morning,15,0.143
R025,27-05-2024,USA,16504,903,99,81,55,This is a reel about relationships.,#together #love #couple,Relationships,Afternoon,30,0.069
R026,02-03-2024,India,42831,5723,513,470,390,This is a reel about motivation.,#motivation #goals #grind,Motivation,Morning,30,0.166
R027,08-01-2024,China,46059,7834,696,581,432,This is a reel about comedy.,#laugh #joke #meme,Comedy,Morning,15,0.207
R028,04-05-2024,China,20725,1668,111,136,138,This is a reel about education.,#learn #study #student,Education,Morning,30,0.099
R029,26-01-2024,USA,26321,5187,345,486,380,This is a reel about education.,#study #knowledge #learn,Education,Afternoon,60,0.243
R030,11-01-2024,India,69494,9331,865,530,467,This is a reel about education.,#learn #knowledge #student,Education,Evening,15,0.161
R031,01-02-2024,Kenya,83128,6948,529,641,637,This is a reel about fitness.,#health #workout #gym,Fitness,Night,60,0.105
R032,06-02-2024,Thailand,2595,143,12,9,13,This is a reel about sports.,#win #sports #goal,Sports,Evening,60,0.068
R033,09-02-2024,Malaysia,93173,8209,976,656,668,This is a reel about motivation.,#inspiration #goals #success,Motivation,Morning,30,0.113
R034,29-04-2024,Japan,42550,6150,772,381,311,This is a reel about education.,#student #knowledge #study,Education,Morning,60,0.179
R035,06-04-2024,U.S. Virgin Islands,7241,631,44,48,37,This is a reel about food.,#homemade #foodporn #delicious,Food,Night,90,0.105
R036,06-03-2024,Colombia,91533,12283,1567,637,665,This is a reel about fitness.,#gym #health #fitlife,Fitness,Evening,30,0.166
R037,22-05-2024,USA,95491,5107,601,298,424,This is a reel about technology.,#future #coding #tech,Technology,Night,90,0.067
R038,31-03-2024,India,61737,6670,852,544,369,This is a reel about travel.,#wanderlust #explore #travel,Travel,Morning,15,0.137
R039,18-04-2024,China,52115,5876,380,577,436,This is a reel about technology.,#gadgets #coding #tech,Technology,Night,90,0.139
R040,24-01-2024,China,35287,1841,166,126,156,This is a reel about comedy.,#funny #comedy #joke,Comedy,Afternoon,60,0.065
R041,18-04-2024,USA,37792,5399,763,449,403,This is a reel about relationships.,#love #romance #relationshipgoals,Relationships,Evening,60,0.186
R042,29-02-2024,India,84971,9516,686,726,902,This is a reel about education.,#learn #school #study,Education,Night,30,0.139
R043,06-01-2024,Kenya,9084,1112,134,106,67,This is a reel about food.,#yum #foodporn #foodie,Food,Night,15,0.156
R044,03-04-2024,Thailand,18295,1357,135,70,131,This is a reel about education.,#student #learn #study,Education,Morning,30,0.093
R045,09-02-2024,Malaysia,28877,5598,626,429,404,This is a reel about fitness.,#fitlife #health #gym,Fitness,Night,15,0.244
R046,14-04-2024,Japan,81548,6856,609,546,411,This is a reel about education.,#knowledge #school #student,Education,Morning,30,0.103
R047,02-02-2024,U.S. Virgin Islands,41999,2605,258,181,243,This is a reel about technology.,#gadgets #future #innovation,Technology,Night,30,0.078
R048,11-03-2024,Colombia,34416,5015,455,485,366,This is a reel about fitness.,#gym #fitlife #fitness,Fitness,Afternoon,15,0.184
R049,05-01-2024,USA,43912,4931,537,418,490,This is a reel about education.,#student #knowledge #learn,Education,Afternoon,60,0.145
R050,17-01-2024,India,4996,705,44,55,67,This is a reel about education.,#student #study #knowledge,Education,Afternoon,60,0.174
R051,05-02-2024,China,33779,2977,344,265,206,This is a reel about food.,#delicious #foodie #yum,Food,Morning,30,0.112
R052,31-03-2024,China,80951,11910,964,658,977,This is a reel about fashion.,#ootd #trend #style,Fashion,Night,30,0.179
R053,25-04-2024,USA,29726,1967,186,192,124,This is a reel about fitness.,#fitlife #fitness #workout,Fitness,Night,15,0.083
R054,21-04-2024,India,92497,14691,741,1405,1010,This is a reel about relationships.,#love #relationshipgoals #couple,Relationships,Afternoon,30,0.193
R055,29-05-2024,Kenya,66812,5521,328,523,435,This is a reel about fitness.,#workout #gym #fitlife,Fitness,Night,30,0.102
R056,30-04-2024,Thailand,81973,15559,1170,1187,1473,This is a reel about sports.,#sports #team #goal,Sports,Morning,60,0.237
R057,31-01-2024,Malaysia,32716,1963,101,153,172,This is a reel about fitness.,#fitlife #fitness #gym,Fitness,Afternoon,60,0.073
R058,23-05-2024,Japan,95663,17329,1404,1023,1151,This is a reel about sports.,#sports #game #win,Sports,Evening,60,0.219
R059,08-03-2024,U.S. Virgin Islands,91438,8273,694,556,653,This is a reel about sports.,#team #game #win,Sports,Evening,15,0.111
R060,12-03-2024,Colombia,42188,8222,1070,794,604,This is a reel about technology.,#gadgets #coding #future,Technology,Evening,90,0.253
R061,21-05-2024,USA,19680,1533,227,106,121,This is a reel about fashion.,#fashion #lookbook #trend,Fashion,Morning,15,0.101
